% Best Chromossome of the test dataset
@RELATION cellcycle0.names

@ATTRIBUTE clb2-2 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE clb2-1 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha0 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha14 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha42 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha49 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha56 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha77 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha105 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha112 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_10 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_80 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_90 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_100 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_110 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_120 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_150 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_180 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_200 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_210 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_220 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_230 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_250 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_270 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_290 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_40 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_60 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_90 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_110 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_120 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_140 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_160 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE elu60 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE elu120 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE elu150 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE elu210 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE elu360 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE class {R.11.02.03.01, R.12.04.02, R.01.04, R.43.01.03.09, R.32.01, R.20.01.17, R.12.04.01, R.14.10, R.20.09.07.03, R.16.03.03, R.10.03.01.01.11, R.42.01, R.01.05, R.20.03, R.01.03.01.03, R.10.01.09.05, R.11.02.03.04, R.12.10, R.01.05.25, R.16.19.03, R.11.04.03.01, R.34.11.03.07, R.42.04.05, R.10.01.03.05, R.14.04, R.16.01, R.43.01.03.05, R.42.16, R.12.01.01, R.01.07.01, R.20.09.07, R.32.07, R.01.03.07, R.01.05.02.07, R.01.06, R.20.09.04, R.20.01.13, R.01.06.02.01, R.20.01.27, R.11.06.02, R.14.07.02, R.10.01.05.01, R.20.09.13, R.14.07.02.02, R.01.01.06.06.01.03, R.12.07, R.14.13, R.10.03.01, R.10, R.16.03.01, R.42.04, R.34.01.01.01, R.01.01, R.02.01, R.11, R.20.01.01.01, R.01.05.13.01, R.20.01.03, R.01.20.15, R.11.04.01, R.01.03.01, R.14.07.11, R.20.09.18, R.42.27.03, R.10.03.01.01.09, R.20.01.07, R.42.04.03, R.20.01.15, R.01.01.06.04.02, R.14.07.04, R.20.09.16, R.14.01, R.11.02.03.04.03, R.01.06.06.11, R.14.13.01.01, R.14.07.09, R.10.03.02, R.01.07, R.20.01.10, R.01.02, R.99, R.01.01.06.05, R.32.01.01, R.10.01.05.03, R.10.03.04.03, R.01.01.09.06.01, R.14.13.01, R.01.03.04.03, R.02.13.03, R.01.20.19, R.01.05.09.04, R.11.04.03.05, R.14.07.03, R.10.01.03, R.42.25, R.32, R.14.07.05, R.42.10.03, R.02.19, R.10.01.05.03.01, R.01.03.04, R.20.09.01, R.02.13, R.11.02.03.01.04, R.02.16.01, R.11.04.02, R.12.04.03, R.18.02.01, R.16.19, R.01.06.05, R.12, R.10.03.01.03, R.16.21.07, R.02.10, R.01.01.11.03.01, R.34.01.01.03, R.20.09.07.27, R.12.01, R.42.08, R.10.03.04.05, R.20.03.01.01, R.11.02.03.04.01, R.20.01.23, R.01.01.03.02.01, R.32.01.09, R.34.11.03.13, R.01.04.04, R.14.07, R.14.07.11.01, R.32.01.03, R.01.06.02.02, R.40.01, R.01.01.09.04.01, R.42.19, R.11.04.03, R.01.01.09.07.01, R.01.03.10, R.02.16, R.01.06.06, R.01.02.07, R.01.01.09.05, R.32.07.03, R.20.01.01.01.01, R.34.07.01, R.20.01.21, R.34.01.01, R.01.01.11.04.01, R.20.01.03.01, R.30.01, R.14, R.01.01.13, R.01.01.06.05.01, R.11.02.03.01.01, R.02.04, R.01.01.06.02.01, R.12.04, R.20.01.25, R.38, R.01.01.03.05.01, R.40.10.02.02.01, R.14.07.01, R.01.02.02.09, R.20.09.07.25, R.20.01.01.07.07, R.01.03.16.01, R.40.20, R.10.03.03, R.01.06.10, R.01.03.01.01, R.02.45, R.14.13.04, R.20.01.01.07, R.01.01.06.05.01.01, R.20.09.18.09.01, R.10.01.05, R.01.01.09.02, R.30.01.05.05.01, R.11.04.03.03, R.02.01.03, R.01.01.09.03.01, R.18.02.09, R.42.10, R.20.09.07.05, R.20.01.03.03, R.16.21.17, R.01.03.04.01, R.01.05.06.07, R.11.02.01, R.18.02.01.01.01, R.01.01.03.03.01}

@DATA
6,4,5,8,10,12,10,8,11,10,12,10,9,10,11,8,10,8,9,11,8,10,12,10,11,8,11,12,13,11,13,9,15,11,11,11,8,R.16.01
7,5,5,10,9,11,11,8,10,9,13,10,8,9,11,6,10,10,8,11,8,12,13,11,12,7,8,14,14,11,14,11,15,8,8,11,10,R.16.01
8,5,5,8,10,12,11,9,9,9,12,11,8,11,11,7,9,9,8,10,8,11,11,9,9,8,9,13,14,13,12,10,17,11,11,10,6,R.16.01
7,5,5,9,11,11,13,9,11,9,13,9,9,6,11,5,10,9,8,12,5,10,13,11,12,10,10,14,13,12,13,9,15,10,12,14,9,R.16.01
7,4,7,9,13,12,11,8,8,10,14,9,8,8,11,6,9,8,10,11,9,12,12,10,11,10,11,12,12,12,8,8,16,11,8,11,8,R.16.01
7,5,6,8,12,10,10,9,11,9,11,12,9,11,12,9,8,9,9,10,10,9,9,9,9,10,9,14,14,11,13,7,15,10,10,14,11,R.16.01
6,6,6,13,12,10,11,8,5,9,9,3,9,9,11,3,10,12,12,15,7,6,16,14,13,9,8,13,13,12,12,10,15,10,11,11,6,R.16.01
6,5,6,8,11,11,10,8,8,11,11,8,8,10,12,8,9,7,10,10,10,10,10,11,8,10,11,11,12,11,13,8,15,11,13,13,6,R.16.01
6,4,3,6,14,12,10,9,14,9,12,12,9,7,10,7,9,11,9,11,8,8,11,8,8,14,12,10,14,14,15,9,15,10,12,14,9,R.16.01
6,5,6,9,13,12,12,8,9,10,11,10,9,10,12,7,8,11,9,11,7,12,8,10,12,11,11,14,13,12,14,12,16,9,11,11,10,R.16.01
5,4,5,13,11,12,10,8,9,6,11,8,8,8,10,8,13,8,9,8,8,8,12,9,9,11,8,12,16,15,8,5,15,13,14,14,8,R.16.01
8,6,7,12,11,11,10,7,6,8,13,11,9,9,10,7,10,11,7,11,9,7,12,10,12,8,9,14,13,10,13,9,17,9,7,10,10,R.32.01.01
7,4,6,7,10,11,11,8,9,10,13,11,9,10,11,7,10,9,7,10,6,11,12,9,10,11,11,11,14,15,10,6,16,9,8,11,7,R.11.04.02
7,4,5,9,8,10,11,10,16,8,11,11,9,10,11,8,11,9,9,10,8,8,11,9,10,11,10,13,14,12,12,8,15,9,10,15,9,R.20.09.07.03
7,4,6,8,12,11,12,8,7,8,11,11,4,10,11,8,18,9,9,10,8,8,11,9,10,7,12,12,13,12,13,10,15,11,9,10,10,R.20.09.07.03
7,6,5,8,12,10,12,9,9,8,12,9,9,9,12,7,9,7,8,11,8,10,13,10,11,9,10,12,13,12,13,9,16,10,11,12,9,R.20.09.07.03
7,7,12,5,13,11,11,6,10,11,10,11,10,10,12,5,10,10,9,12,6,7,11,10,10,11,11,12,14,15,12,10,14,11,13,16,5,R.10.03.02
7,5,7,10,12,10,11,8,8,6,11,15,7,10,11,9,11,10,10,10,9,12,10,9,8,9,9,13,13,12,6,8,17,13,11,12,6,R.10.03.02
7,5,6,12,11,10,9,9,9,9,13,9,9,8,12,8,9,8,10,10,9,8,12,9,10,6,8,15,15,14,14,11,16,8,9,11,10,R.20.01.13
6,9,4,5,12,10,11,7,11,8,8,13,11,12,14,8,10,10,0,12,8,10,13,11,12,12,11,13,11,11,12,8,17,10,10,12,3,R.01.07
7,5,6,9,13,11,12,7,10,12,14,9,10,9,13,6,10,8,8,12,7,9,13,10,11,10,11,13,13,12,14,10,15,11,10,13,8,R.11.04.03.01
7,5,5,8,12,11,11,9,9,10,12,9,7,11,11,8,11,9,9,9,8,10,11,8,10,10,9,12,14,11,13,10,16,12,11,10,6,R.11.04.03.01
8,5,5,8,11,12,10,11,12,9,12,10,9,10,10,9,8,8,9,11,10,10,11,9,10,11,12,14,14,12,12,10,16,12,10,12,7,R.11.04.03.01
8,4,6,11,11,10,11,8,6,10,12,10,8,8,10,17,9,8,10,10,8,10,12,9,10,10,10,14,13,12,13,11,16,11,8,13,7,R.11.04.03.01
7,6,6,7,13,10,12,8,10,11,14,7,11,8,14,6,11,8,5,13,3,5,14,10,10,9,11,15,12,12,13,10,15,10,10,13,10,R.99
7,5,5,9,13,10,10,8,8,13,9,13,10,9,11,10,10,7,13,12,9,4,10,8,9,10,11,14,13,11,15,10,15,8,10,14,11,R.99
6,5,6,7,13,10,12,8,9,12,12,11,8,8,12,8,10,16,10,9,8,7,11,9,11,9,11,11,12,11,13,7,15,15,15,13,6,R.20.03
6,4,6,11,11,13,9,7,8,11,12,12,8,12,11,10,10,9,10,8,10,8,9,10,6,10,10,12,13,13,11,10,16,19,7,9,7,R.20.03
7,5,6,9,13,10,11,8,8,11,11,13,9,10,11,10,13,8,10,9,11,7,10,8,8,8,11,12,15,13,14,9,16,11,11,13,7,R.14.07.02.02
7,6,5,9,12,11,10,9,8,10,10,9,10,11,12,6,10,9,8,12,7,9,13,11,12,9,10,12,13,13,13,10,16,11,12,13,4,R.14.13
7,2,5,8,10,10,12,8,12,11,10,12,8,11,9,9,9,11,8,11,10,9,11,9,10,10,11,12,14,13,13,10,15,9,11,13,8,R.01.06
6,5,4,12,12,11,13,7,11,14,10,9,9,10,11,7,10,11,10,13,11,8,13,12,13,9,9,14,13,12,15,10,14,9,7,11,14,R.01.06
7,5,6,12,10,11,10,10,9,8,12,10,7,9,10,9,10,9,9,9,9,10,13,11,12,7,9,14,15,12,13,9,15,9,9,10,11,R.01.06
7,5,6,10,12,11,11,7,7,7,11,10,8,8,11,9,11,10,8,11,8,10,12,11,12,6,7,11,15,14,14,9,16,6,7,11,11,R.01.06
6,6,6,13,11,12,11,9,8,7,10,11,9,10,10,8,9,9,9,10,9,8,12,11,11,10,8,13,11,15,17,5,15,7,7,12,7,R.01.06
7,5,6,9,12,11,11,8,9,9,11,11,8,12,12,8,9,9,8,13,6,11,6,10,11,9,10,15,13,12,14,12,16,11,11,12,8,R.14.10
8,6,6,8,13,12,12,8,10,12,11,10,9,10,11,8,10,8,9,11,8,10,12,10,11,9,10,16,13,10,15,10,16,12,12,12,8,R.14.10
6,5,6,10,12,12,10,9,9,9,12,7,10,13,12,10,8,7,8,11,8,8,12,9,10,9,10,13,13,9,13,9,16,12,12,11,6,R.14.10
8,5,6,15,12,11,10,6,7,10,11,11,8,8,10,6,9,10,8,10,7,11,15,12,16,13,8,14,13,11,12,12,16,7,4,11,10,R.14.10
7,5,7,10,12,10,10,9,8,11,11,10,9,10,12,8,10,11,9,9,13,8,8,10,6,10,11,12,12,11,12,9,16,12,10,12,6,R.14.10
7,6,6,8,12,11,11,8,8,10,10,12,10,11,12,7,10,10,11,12,10,5,10,8,8,8,10,12,15,14,13,10,15,12,12,11,7,R.14.10
7,5,6,10,13,12,11,8,8,12,11,9,9,10,11,7,11,9,9,11,5,5,14,12,12,9,10,14,14,13,13,11,16,12,10,12,7,R.14.10
8,5,7,9,14,12,11,7,8,12,10,12,10,10,12,8,10,10,9,12,6,4,11,10,11,10,10,13,13,13,14,10,15,9,11,13,8,R.20.09.04
7,6,5,9,12,11,11,9,15,7,11,11,9,10,12,9,10,9,9,11,9,8,12,9,10,10,11,14,14,12,13,12,16,11,10,11,8,R.20.09.04
7,5,6,10,13,11,12,6,8,11,11,14,9,12,9,12,9,9,10,10,9,8,9,7,8,11,10,13,13,11,15,9,15,9,8,12,13,R.20.09.04
7,4,6,10,11,12,11,8,10,7,13,12,7,11,11,8,10,9,8,9,8,9,13,8,11,8,9,13,14,12,14,9,17,9,10,11,8,R.20.09.04
5,5,7,9,11,12,9,8,9,11,12,11,9,8,11,8,9,9,8,9,9,9,12,10,11,10,10,12,11,14,13,9,16,9,9,10,8,R.34.11.03.07
7,4,6,11,12,12,8,9,7,2,12,9,6,8,10,7,11,7,9,7,8,10,12,9,9,10,10,13,14,12,11,8,17,10,12,11,5,R.34.11.03.07
6,4,6,7,11,12,11,8,11,11,11,11,7,10,8,11,11,10,9,9,12,9,10,8,8,10,10,15,14,11,14,10,17,11,10,9,6,R.34.11.03.07
7,5,19,19,8,9,5,5,4,4,11,10,8,10,11,8,10,9,8,10,8,10,12,10,11,11,9,8,13,13,12,9,16,11,12,11,6,R.34.11.03.07
7,6,12,8,12,12,11,7,8,11,11,10,9,11,12,7,7,9,9,11,8,9,14,12,13,8,11,12,13,12,14,9,15,11,10,11,7,R.34.11.03.07
8,5,7,10,13,11,11,8,12,9,11,11,9,10,11,9,9,10,11,10,11,10,11,8,9,10,11,15,14,11,14,9,17,8,6,9,10,R.14.07.11
8,4,7,10,12,11,10,8,8,10,14,9,10,10,13,7,10,6,7,12,4,5,13,10,11,10,10,14,13,12,13,10,16,11,9,9,8,R.16.03.03
6,5,6,5,11,12,13,9,9,11,13,10,9,8,12,7,8,7,9,13,8,9,10,11,8,11,12,14,13,11,11,8,16,15,14,11,4,R.16.03.03
6,5,6,9,13,11,12,7,10,8,12,12,7,10,13,9,9,8,10,10,9,10,10,8,8,11,10,15,13,12,13,9,16,11,10,11,6,R.16.03.03
7,5,6,6,13,12,12,9,10,10,15,9,10,10,12,7,10,8,8,10,7,7,12,8,9,10,11,13,12,12,13,9,16,13,11,11,8,R.16.03.03
7,6,6,9,12,11,11,8,9,9,12,10,9,9,12,8,10,8,8,11,7,9,10,10,9,9,11,12,14,12,14,10,16,9,10,12,7,R.16.03.03
7,4,6,7,10,11,13,9,12,10,15,11,9,11,12,9,9,6,5,11,7,10,10,8,10,10,11,13,13,10,14,9,16,12,14,13,5,R.16.03.03
7,5,6,10,12,11,11,8,9,10,11,10,9,10,12,9,14,8,9,9,9,8,10,10,9,8,9,11,14,13,13,12,16,11,10,12,8,R.01.02
7,6,7,10,10,13,9,9,14,8,11,12,10,12,14,9,10,8,8,10,7,3,11,8,7,11,10,15,14,11,12,10,15,10,10,11,8,R.01.02
6,5,5,11,11,9,10,8,8,10,12,10,9,11,12,9,9,8,10,10,7,6,12,9,9,6,9,11,14,12,13,9,16,12,13,13,7,R.01.02
7,7,6,10,13,10,11,8,9,11,11,15,8,11,11,10,14,9,10,9,14,11,7,10,8,9,8,12,14,14,13,11,15,12,11,11,9,R.20.09.18
7,4,5,8,11,11,11,8,9,8,10,13,9,9,11,8,10,9,11,11,10,8,11,9,10,9,11,12,15,12,13,8,16,8,10,12,8,R.20.09.18
6,4,6,10,12,11,11,9,10,8,13,12,9,11,12,9,9,8,9,11,8,8,10,9,10,9,10,12,12,11,13,8,16,11,10,11,9,R.20.09.18
7,5,6,9,11,10,11,7,10,10,11,11,6,11,9,10,9,10,10,9,10,10,11,11,9,6,11,13,12,13,13,11,16,12,12,12,6,R.20.09.18
7,5,6,9,12,11,11,8,8,11,12,9,8,10,11,7,9,7,9,10,8,8,12,10,10,8,10,15,14,11,13,9,16,10,11,10,8,R.20.09.18
6,4,7,9,13,11,11,8,9,10,13,13,7,10,13,9,9,8,9,11,7,8,12,9,9,10,11,11,14,13,13,10,16,10,10,11,9,R.20.09.18
5,5,5,10,13,8,9,9,6,8,12,8,9,9,10,8,12,8,10,10,6,4,12,10,10,8,9,11,15,13,12,9,15,14,14,13,6,R.01.03.01
7,4,5,9,10,13,10,8,8,11,12,16,8,11,11,9,10,8,8,12,10,8,9,8,8,5,10,14,13,12,13,10,15,9,12,14,7,R.12.10
6,5,5,9,12,10,11,9,9,8,10,12,8,13,10,10,8,8,10,10,12,12,10,8,7,9,9,13,12,13,13,11,13,11,11,12,9,R.12.10
6,6,7,10,11,11,11,9,8,10,12,9,8,10,12,8,10,10,9,11,10,8,14,11,11,6,11,14,14,15,12,12,18,11,10,13,9,R.12.10
8,5,6,9,11,11,12,8,7,10,14,11,10,10,13,7,10,2,8,12,5,9,12,9,9,9,9,14,15,12,13,11,16,8,8,11,9,R.14.13.01.01
7,5,6,9,13,10,12,9,8,9,12,11,9,10,12,9,15,8,9,11,6,6,12,9,10,8,10,13,13,12,13,9,15,9,10,14,12,R.14.13.01.01
6,6,6,10,12,11,12,8,9,10,12,10,9,9,11,7,10,7,8,11,7,9,13,11,12,9,10,14,18,12,10,10,16,10,11,11,7,R.14.13.01.01
6,5,6,9,13,9,11,9,9,9,11,11,10,11,12,11,10,6,10,11,6,4,11,9,9,11,10,15,11,12,13,8,14,8,11,16,11,R.14.13.01.01
6,5,6,8,13,11,10,8,10,4,10,12,11,9,10,6,10,10,7,11,3,6,13,11,12,11,13,9,13,13,12,8,16,12,12,13,5,R.18.02.01
7,4,6,9,12,12,12,8,9,9,10,13,9,11,12,11,10,7,10,12,11,6,11,8,10,8,11,14,13,12,13,9,16,10,10,13,8,R.20.01.15
7,6,6,9,12,10,11,8,8,8,11,11,9,10,12,10,10,8,8,11,9,8,10,8,9,8,10,13,14,11,14,9,15,10,11,13,8,R.20.01.15
7,5,7,9,12,12,12,9,8,9,11,12,9,9,12,9,9,7,10,10,11,8,10,8,8,7,9,16,14,12,15,10,16,9,10,11,9,R.16.21.07
6,5,7,10,12,12,11,8,9,11,10,12,9,12,12,9,9,7,6,11,7,8,12,10,12,9,13,13,12,12,13,10,15,11,12,13,9,R.14.07.09
6,6,5,9,11,12,11,9,14,9,12,13,8,11,11,9,9,10,11,9,13,9,9,8,7,10,11,12,12,12,13,9,16,11,11,11,2,R.20.01.10
6,4,7,6,12,13,13,8,11,10,15,10,8,9,12,8,8,10,10,9,8,9,11,8,8,10,11,12,12,11,14,8,16,16,14,9,5,R.11.06.02
7,6,4,14,8,8,9,10,7,8,13,9,8,5,12,8,13,5,8,8,7,3,14,11,9,10,9,17,15,12,13,9,16,13,10,15,10,R.42.10.03
8,7,5,7,12,11,13,9,10,9,10,8,10,11,14,9,10,7,10,12,6,11,11,9,10,7,9,16,15,12,13,11,14,10,9,13,10,R.01.06.06.11
7,5,7,10,12,11,11,8,7,10,10,11,9,11,13,10,11,7,8,11,7,7,12,11,11,9,10,14,14,13,13,10,16,11,10,12,8,R.01.06.06.11
8,5,5,7,10,13,11,8,11,9,12,10,8,10,11,8,11,8,9,11,7,8,10,11,9,10,10,13,14,12,14,9,16,9,10,11,9,R.14.01
7,6,7,9,13,10,11,8,7,11,12,8,9,9,12,7,11,9,8,12,7,3,12,11,12,9,10,15,13,11,14,11,16,8,8,12,10,R.14.01
7,4,7,8,13,12,12,8,9,11,14,9,9,9,12,7,9,8,9,11,6,11,12,9,10,9,12,12,13,12,13,8,15,13,13,13,8,R.16.19.03
6,5,5,9,14,12,12,7,12,9,12,14,7,13,11,9,15,11,8,9,9,12,8,8,6,10,12,14,14,12,14,11,16,9,9,9,7,R.16.19.03
10,5,5,11,5,11,12,11,9,9,14,5,8,11,14,11,9,7,7,11,9,12,14,11,10,8,11,15,12,11,10,10,15,14,13,12,9,R.16.19.03
6,4,6,8,12,11,12,8,11,9,11,10,9,9,12,9,8,8,10,10,11,10,11,8,8,9,10,15,12,10,13,8,16,10,9,14,9,R.16.19.03
6,5,6,5,12,11,13,9,11,12,16,8,10,10,13,7,8,9,8,12,6,8,11,7,8,9,11,11,13,11,15,10,15,17,17,13,5,R.42.04.03
5,5,6,9,11,10,12,9,8,9,13,10,9,9,10,10,10,9,8,9,7,7,11,9,10,9,10,13,12,11,13,9,15,12,11,14,7,R.20.09.07
6,5,6,9,12,11,11,8,10,11,10,12,8,11,10,9,11,11,10,10,11,9,11,8,9,8,10,13,12,13,14,10,16,9,8,12,11,R.20.09.07
7,5,6,10,13,11,12,7,9,11,12,12,9,11,10,10,10,10,10,10,8,7,11,9,9,9,10,13,12,12,12,9,16,12,12,12,6,R.10.01.09.05
7,6,7,9,11,13,12,8,9,9,11,11,6,10,11,14,8,10,11,13,8,8,9,10,10,10,11,14,13,11,13,9,16,10,10,11,1,R.10.01.09.05
5,6,6,10,12,10,9,9,9,10,11,9,9,8,10,6,13,4,6,10,3,10,15,13,14,11,10,13,14,12,11,8,15,11,10,13,9,R.10.03.01.03
7,6,7,10,12,12,12,7,9,11,15,11,9,10,11,7,9,7,8,11,5,5,12,10,10,10,8,12,13,12,12,9,16,15,12,12,5,R.01.03.04
6,4,4,8,10,7,8,10,10,10,13,12,7,8,7,5,11,10,8,8,4,8,14,11,15,7,8,16,16,12,14,10,16,9,8,10,11,R.14.13.01
7,4,6,6,12,11,13,9,11,8,14,10,9,9,12,7,10,9,8,11,5,9,12,9,10,8,10,15,14,12,13,9,17,12,11,13,8,R.14.13.01
7,4,6,9,13,11,11,7,7,9,12,11,9,10,11,9,10,9,9,10,8,7,10,10,9,10,10,12,14,12,13,7,16,8,11,13,10,R.01.06.02.01
6,4,9,9,10,12,10,8,12,9,10,14,10,8,10,7,13,7,5,11,8,5,11,9,11,11,11,12,12,13,13,7,16,13,12,13,6,R.01.06.02.01
8,5,6,9,10,10,14,9,13,11,12,9,7,11,11,10,8,8,9,11,10,11,12,9,10,12,11,13,13,11,12,9,15,12,7,11,8,R.01.03.01.03
7,4,6,8,12,12,13,8,9,8,12,12,9,12,12,12,10,8,10,11,11,4,10,7,7,8,9,15,13,11,14,10,16,14,13,14,6,R.01.03.01.03
8,4,7,11,12,9,11,9,7,8,12,9,7,9,12,9,10,10,10,9,10,10,11,9,11,8,8,15,16,14,11,8,16,7,8,11,9,R.14.07
7,4,5,9,11,10,11,9,10,7,12,14,8,11,11,8,10,7,9,9,10,9,10,8,8,12,11,13,14,12,13,6,15,10,11,14,7,R.01.01
7,5,5,8,13,10,11,9,9,10,13,11,9,7,12,7,9,7,10,11,6,6,11,9,9,13,11,14,11,14,12,8,16,13,14,13,6,R.11
9,8,3,14,11,13,13,7,7,11,6,13,12,15,16,12,12,8,10,9,7,4,11,11,12,2,5,15,18,19,16,10,16,9,16,12,9,R.20.01.07
9,5,6,9,12,9,11,7,8,11,12,12,9,9,10,7,9,9,9,11,7,10,12,9,10,11,10,12,14,12,15,9,15,10,10,13,10,R.32.07.03
8,4,6,10,12,11,11,7,5,11,11,12,9,9,11,9,11,9,8,12,8,9,11,10,11,8,10,15,14,12,13,11,16,11,8,12,10,R.42.16
7,6,6,14,11,10,9,8,8,6,9,12,10,11,13,11,6,8,8,11,7,7,13,11,11,9,9,14,14,13,12,11,15,9,10,14,11,R.42.16
7,4,7,5,11,12,13,8,13,9,14,11,9,9,12,9,9,8,10,10,10,7,9,6,7,12,10,14,13,12,13,9,16,19,17,13,4,R.11.04.01
6,5,6,5,13,12,13,9,8,10,11,8,8,11,11,8,8,6,8,12,9,13,14,11,13,10,9,16,13,12,13,10,17,18,16,13,4,R.11.04.01
8,5,6,10,11,11,9,7,10,10,11,9,9,8,12,8,10,7,8,11,8,10,13,12,12,7,9,13,15,14,15,9,16,9,9,13,10,R.01.04
6,4,6,10,12,11,10,8,8,12,12,11,9,9,12,8,10,10,9,10,9,8,11,9,9,9,10,12,14,13,13,9,15,10,11,12,9,R.01.04
6,5,6,9,11,12,11,9,4,10,11,10,7,12,11,10,10,12,9,10,11,12,8,9,6,9,11,12,12,12,13,8,16,12,11,12,3,R.01.04
